Inst,0.50,0.60,0.70,0.80,0.90,1.00
1,6.01,5.67,5.41,5.26,5.10,5.00
2,2.69,2.49,2.32,2.21,2.10,2.00
3,2.65,2.47,2.32,2.20,2.11,2.00
4,2.92,2.65,2.43,2.25,2.12,2.00
5,1.90,1.99,1.71,1.42,1.22,1.00
6,1.64,1.47,1.33,1.21,1.10,2.00
7,1.62,1.47,1.33,1.21,1.10,1.00
8,3.00,3.10,3.21,2.78,5.11,5.00
9,1.66,1.46,1.31,1.20,1.11,1.00
10,1.64,1.46,1.34,1.22,1.10,1.00
11,1.63,1.48,1.33,1.21,1.10,1.00
12,4.23,3.84,4.35,4.21,4.10,4.00
13,2.68,2.48,2.39,2.24,2.11,2.00
14,1.65,1.48,1.34,1.21,1.10,1.00
15,4.73,4.50,4.35,4.22,4.10,4.00
16,2.64,2.47,2.33,2.22,2.11,2.00
17,2.85,2.58,2.39,2.25,2.11,2.00
18,8.17,7.88,9.31,9.23,9.11,9.00
19,6.28,6.51,6.33,6.24,6.11,6.00
20,5.28,4.80,4.48,4.26,4.12,4.00
21,1.90,1.65,1.42,1.25,1.10,1.00
22,1.65,1.46,1.32,1.21,1.10,1.00
23,1.84,1.59,1.41,1.24,1.11,1.00
24,2.90,2.63,2.41,2.24,2.11,2.00
25,3.07,2.73,3.35,3.21,3.10,3.00
26,3.77,3.52,3.35,3.20,3.99,4.00
27,3.70,3.50,3.40,3.24,3.11,3.00
28,2.86,2.73,2.47,2.27,2.11,2.00
29,1.84,1.58,1.41,1.24,1.11,1.00
30,1.65,1.47,1.31,1.21,1.10,1.00
31,2.86,2.83,3.20,2.77,2.36,2.00
32,3.92,3.65,3.40,3.25,3.11,3.00
33,4.45,3.97,3.64,3.52,3.23,3.00
34,4.01,3.73,3.47,3.26,3.13,3.00
35,4.22,3.83,3.66,3.34,3.14,3.00
36,1.64,1.47,1.34,1.21,1.10,1.00
37,4.92,4.65,4.43,4.24,4.11,4.00
38,1.79,1.78,1.60,1.31,1.12,1.00
39,1.68,1.71,2.39,2.25,2.11,2.00
40,1.86,1.61,1.42,1.25,1.11,1.00
41,2.83,2.59,2.41,2.25,2.11,2.00
42,2.92,2.66,2.41,2.25,2.12,2.00
43,3.96,3.74,3.49,3.28,3.12,3.00
44,3.28,3.60,3.39,3.24,3.11,3.00
45,4.51,4.77,4.50,4.28,4.11,4.00
46,6.10,5.75,5.47,5.27,5.12,5.00
47,3.92,3.64,3.42,3.25,3.12,3.00
